title,description,url,published_at,source_name,author,content
Buffett acquires $4.9 Billion Stake in Google parent Alphabet,Warren Buffett's Berkshire Hathaway acquires a $4.9 billion stake in Alphabet while trimming its Apple and Bank of America holdings.,https://www.bloomberg.com/news/articles/2025-11-14/buffett-acquires-4-9-billion-stake-in-google-parent-alphabet,2025-11-15T09:22:44Z,Bloomberg,Bloomberg,"Warren Buffetts Berkshire Hathaway Inc. acquired 17.9 million shares of Google parent Alphabet Inc. during the third quarter, while further trimming its holdings in Bank of America Corp. and Apple In… [+1173 chars]"
"Robinhood Offers to Bring Cash to Your Doorstep, for a Fee",The brokerage is teaming with mobile app Gopuff to provide banking customers home delivery of cash from their accounts.,https://www.wsj.com/finance/investing/robinhood-offers-to-bring-cash-to-your-doorstep-for-a-fee-7a5eb12b,2025-11-13T15:27:00Z,The Wall Street Journal,Hannah Erin Lang,"Cash delivery is the latest sign that Robinhood isnt afraid to push the envelope on nontraditional financial services. - Mark Lennihan/AP
Robinhood Markets is betting its Gen Z and millennial client… [+3380 chars]"
